Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,3/13/26 17:39,FALSE,Charlotte Running,3.01,284,0:23:19,151,175,157,179,7:45,6:12,75,69,1.32,0,"3,764",No,02:49.7,4,0:21:11,0:23:58,660,699
Running,3/13/26 15:44,FALSE,Charlotte Running,6.01,573,0:46:12,153,172,162,189,7:41,6:35,125,131,1.29,0,"7,582",No,00:02.7,7,0:43:56,0:46:50,661,730
Running,3/12/26 6:25,FALSE,Charlotte Running,1.13,94,0:10:44,124,134,148,178,9:31,7:10,30,36,1.14,0,"1,662",No,01:25.9,2,0:09:50,0:10:44,659,703
Running,3/10/26 6:30,FALSE,Charlotte Running,9,678,1:14:56,137,152,166,183,8:19,2:34,272,276,1.17,0,"12,484",No,00:02.9,10,1:14:33,1:20:02,650,722
Running,3/9/26 5:39,FALSE,Charlotte Running,7.18,532,1:00:42,132,147,166,219,8:27,7:41,230,266,1.15,0,"10,096",No,01:34.5,8,1:00:24,1:02:17,710,840
Running,3/7/26 12:08,FALSE,Charlotte Running,10,898,1:16:10,151,171,166,175,7:37,6:31,482,456,1.27,0,"12,694",No,00:02.1,11,1:15:48,1:19:25,633,765
Running,3/6/26 5:29,FALSE,Charlotte Running,10.35,787,1:27:21,135,157,162,175,8:26,7:16,236,243,1.18,0,"14,226",No,02:50.5,11,1:24:49,1:35:54,653,763
Running,3/4/26 18:27,FALSE,Charlotte Running,7.43,690,0:59:44,147,167,163,174,8:02,6:52,207,217,1.23,0,"9,836",No,03:37.8,8,0:59:09,1:09:30,620,755
Running,3/1/26 9:35,FALSE,Greenville Running,12.01,"1,047",1:19:45,161,185,172,181,6:39,6:01,164,200,1.41,0,"13,732",No,00:04.2,13,1:19:30,1:25:31,937,"1,041"
Running,2/28/26 8:43,FALSE,Greenville County Running,4.49,370,0:48:33,118,150,123,242,10:48,5:51,292,125,1.21,0,"6,174",No,05:10.6,5,0:37:07,1:30:43,"1,004","1,084"
Running,2/27/26 16:15,FALSE,Charlotte Running,3,282,0:22:55,150,162,166,174,7:38,7:10,154,138,1.27,0,"3,822",No,00:01.5,4,0:22:48,0:23:12,697,778
Running,2/26/26 18:34,FALSE,Charlotte Running,7.1,682,0:57:01,150,167,162,178,8:02,7:00,318,341,1.23,0,"9,312",No,00:50.1,8,0:56:28,1:00:48,641,778
Running,2/25/26 5:54,FALSE,Charlotte Running,7.04,607,0:53:05,150,175,169,189,7:33,3:35,233,187,1.26,0,"8,974",No,00:07.2,14,0:52:49,0:55:37,710,791
Running,2/24/26 14:41,FALSE,Charlotte Running,1.76,160,0:13:39,145,174,157,185,7:45,5:40,46,16,1.32,0,"2,174",No,05:09.5,2,0:12:49,0:18:33,667,707
Running,2/24/26 6:56,FALSE,Charlotte Running,4.17,361,0:32:35,142,157,166,181,7:49,7:00,161,180,1.24,0,"5,478",No,01:16.7,5,0:31:52,0:35:02,655,728
Running,2/22/26 16:19,FALSE,Charlotte Running,8.02,688,0:58:36,150,160,168,181,7:19,6:33,272,289,1.31,0,"9,818",No,00:07.3,9,0:58:20,1:02:03,642,726
Running,2/21/26 10:31,FALSE,Charlotte Running,6.01,455,0:44:05,141,155,162,184,7:20,6:22,7,52,1.35,0,"7,200",No,00:04.5,7,0:42:40,0:48:32,583,603
Running,2/20/26 17:19,FALSE,Charlotte Running,7,673,0:54:35,157,176,164,174,7:48,6:42,236,256,1.26,0,"8,974",No,00:01.6,8,0:54:14,1:03:34,559,669
Running,2/19/26 6:07,FALSE,Charlotte Running,6.6,546,0:55:13,143,163,164,176,8:22,6:52,279,276,1.17,0,"9,178",No,05:12.4,7,0:54:34,0:59:52,671,788
Running,2/18/26 6:24,FALSE,Charlotte Running,6.09,527,0:46:57,148,176,168,189,7:43,5:15,180,187,1.23,0,"7,934",No,01:00.8,18,0:46:03,0:52:05,666,707